[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: mode: prune
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: model: pointnet
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: verbose: False
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: dataset: modelnet40
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: dataroot: data
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: batch_size: 32
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: total_epochs: 100
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: lr_decay_milestones: 50,80
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: lr_decay_gamma: 0.1
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: lr: 0.01
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: restore: run/modelnet40/pretrain/modelnet40_pointnet.pth
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: output_dir: run/modelnet40/prune/modelnet40-global-obdc-2.0-pointnet
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: finetune: True
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: last_epochs: 100
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: reps: 1
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: method: obdc
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: speed_up: 2.0
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: max_pruning_ratio: 1.0
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: soft_keeping_ratio: 0.0
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: reg: 1e-05
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: delta_reg: 0.0001
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: weight_decay: 0.0005
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: seed: 1
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: global_pruning: True
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: sl_total_epochs: 100
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: sl_lr: 0.01
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: sl_lr_decay_milestones: 60,80
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: sl_reg_warmup: 0
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: sl_restore: None
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: iterative_steps: 400
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: logger: <Logger modelnet40-global-obdc-2.0-pointnet (DEBUG)>
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: device: cuda
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: num_classes: 40
[02/22 12:58:37] modelnet40-global-obdc-2.0-pointnet INFO: Loading model from run/modelnet40/pretrain/modelnet40_pointnet.pth
[02/22 12:58:39] modelnet40-global-obdc-2.0-pointnet INFO: Pruning...
[02/22 12:58:51] modelnet40-global-obdc-2.0-pointnet INFO: PointNet(
  (conv1): Conv1d(3, 59, kernel_size=(1,), stride=(1,), bias=False)
  (conv2): Conv1d(59, 64, kernel_size=(1,), stride=(1,), bias=False)
  (conv3): Conv1d(64, 60, kernel_size=(1,), stride=(1,), bias=False)
  (conv4): Conv1d(60, 127, kernel_size=(1,), stride=(1,), bias=False)
  (conv5): Conv1d(127, 974, kernel_size=(1,), stride=(1,), bias=False)
  (bn1): BatchNorm1d(59, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn3): BatchNorm1d(60, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn4): BatchNorm1d(127, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn5): BatchNorm1d(974, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (linear1): Linear(in_features=974, out_features=191, bias=False)
  (bn6): BatchNorm1d(191, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dp1): Dropout(p=0.5, inplace=False)
  (linear2): Linear(in_features=191, out_features=40, bias=True)
)
[02/22 12:58:51] modelnet40-global-obdc-2.0-pointnet INFO: Params: 1.35 M => 0.34 M (24.81%)
[02/22 12:58:51] modelnet40-global-obdc-2.0-pointnet INFO: FLOPs: 291.33 M => 145.27 M (49.87%, 2.01X )
[02/22 12:58:51] modelnet40-global-obdc-2.0-pointnet INFO: Acc: 0.8861 => 0.3312
[02/22 12:58:51] modelnet40-global-obdc-2.0-pointnet INFO: Val Loss: 0.3951 => 3.4132
[02/22 12:58:51] modelnet40-global-obdc-2.0-pointnet INFO: Finetuning...
[02/22 12:59:04] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 0/100, Acc=0.8252, Val Loss=0.5682, lr=0.0100
[02/22 12:59:17] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 1/100, Acc=0.8296, Val Loss=0.5572, lr=0.0100
[02/22 12:59:30] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 2/100, Acc=0.8138, Val Loss=0.6095, lr=0.0100
[02/22 12:59:42] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 3/100, Acc=0.8462, Val Loss=0.5146, lr=0.0100
[02/22 12:59:55] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 4/100, Acc=0.8397, Val Loss=0.5263, lr=0.0100
[02/22 13:00:07] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 5/100, Acc=0.8235, Val Loss=0.5884, lr=0.0100
[02/22 13:00:21] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 6/100, Acc=0.7952, Val Loss=0.6470, lr=0.0100
[02/22 13:00:33] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 7/100, Acc=0.8138, Val Loss=0.6069, lr=0.0100
[02/22 13:00:45] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 8/100, Acc=0.7777, Val Loss=0.7201, lr=0.0100
[02/22 13:00:58] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 9/100, Acc=0.8118, Val Loss=0.6146, lr=0.0100
[02/22 13:01:10] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 10/100, Acc=0.8304, Val Loss=0.5739, lr=0.0100
[02/22 13:01:23] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 11/100, Acc=0.7952, Val Loss=0.6548, lr=0.0100
[02/22 13:01:35] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 12/100, Acc=0.8264, Val Loss=0.5561, lr=0.0100
[02/22 13:01:48] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 13/100, Acc=0.8171, Val Loss=0.5697, lr=0.0100
[02/22 13:02:00] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 14/100, Acc=0.8418, Val Loss=0.5370, lr=0.0100
[02/22 13:02:13] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 15/100, Acc=0.8474, Val Loss=0.5456, lr=0.0100
[02/22 13:02:26] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 16/100, Acc=0.8600, Val Loss=0.4859, lr=0.0100
[02/22 13:02:38] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 17/100, Acc=0.8324, Val Loss=0.5578, lr=0.0100
[02/22 13:02:51] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 18/100, Acc=0.8296, Val Loss=0.5396, lr=0.0100
[02/22 13:03:03] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 19/100, Acc=0.8580, Val Loss=0.5230, lr=0.0100
[02/22 13:03:17] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 20/100, Acc=0.8495, Val Loss=0.4966, lr=0.0100
[02/22 13:03:29] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 21/100, Acc=0.8369, Val Loss=0.5448, lr=0.0100
[02/22 13:03:42] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 22/100, Acc=0.8183, Val Loss=0.5835, lr=0.0100
[02/22 13:03:55] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 23/100, Acc=0.8527, Val Loss=0.5021, lr=0.0100
[02/22 13:04:08] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 24/100, Acc=0.8268, Val Loss=0.5652, lr=0.0100
[02/22 13:04:20] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 25/100, Acc=0.8304, Val Loss=0.5418, lr=0.0100
[02/22 13:04:33] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 26/100, Acc=0.7879, Val Loss=0.6381, lr=0.0100
[02/22 13:04:46] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 27/100, Acc=0.7984, Val Loss=0.6196, lr=0.0100
[02/22 13:05:01] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 28/100, Acc=0.8422, Val Loss=0.5384, lr=0.0100
[02/22 13:05:11] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 29/100, Acc=0.8118, Val Loss=0.5859, lr=0.0100
[02/22 13:05:24] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 30/100, Acc=0.8353, Val Loss=0.5356, lr=0.0100
[02/22 13:05:36] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 31/100, Acc=0.8211, Val Loss=0.5512, lr=0.0100
[02/22 13:05:49] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 32/100, Acc=0.8227, Val Loss=0.5608, lr=0.0100
[02/22 13:06:02] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 33/100, Acc=0.8089, Val Loss=0.6125, lr=0.0100
[02/22 13:06:15] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 34/100, Acc=0.8235, Val Loss=0.5817, lr=0.0100
[02/22 13:06:27] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 35/100, Acc=0.8373, Val Loss=0.5237, lr=0.0100
[02/22 13:06:40] modelnet40-global-obdc-2.0-pointnet INFO: Epoch 36/100, Acc=0.8458, Val Loss=0.5127, lr=0.0100
