SLURM WORKLOAD START: Sun Feb 23 10:34:12 CET 2025
Sun Feb 23 10:34:12 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 555.42.02              Driver Version: 555.42.02      CUDA Version: 12.5     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:0B:00.0 Off |                    0 |
| N/A   31C    P0             25W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
/home/REDACTED/paper1/.venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[02/23 10:34:19 cifar10-mobilenetv2]: mode: pretrain
[02/23 10:34:19 cifar10-mobilenetv2]: model: mobilenetv2
[02/23 10:34:19 cifar10-mobilenetv2]: verbose: False
[02/23 10:34:19 cifar10-mobilenetv2]: dataset: cifar10
[02/23 10:34:19 cifar10-mobilenetv2]: dataroot: data
[02/23 10:34:19 cifar10-mobilenetv2]: batch_size: 128
[02/23 10:34:19 cifar10-mobilenetv2]: total_epochs: 200
[02/23 10:34:19 cifar10-mobilenetv2]: lr_decay_milestones: 120,160,180
[02/23 10:34:19 cifar10-mobilenetv2]: lr_decay_gamma: 0.1
[02/23 10:34:19 cifar10-mobilenetv2]: lr: 0.1
[02/23 10:34:19 cifar10-mobilenetv2]: restore: None
[02/23 10:34:19 cifar10-mobilenetv2]: output_dir: run/cifar10/pretrain
[02/23 10:34:19 cifar10-mobilenetv2]: finetune: False
[02/23 10:34:19 cifar10-mobilenetv2]: last_epochs: 100
[02/23 10:34:19 cifar10-mobilenetv2]: reps: 1
[02/23 10:34:19 cifar10-mobilenetv2]: method: None
[02/23 10:34:19 cifar10-mobilenetv2]: speed_up: 2
[02/23 10:34:19 cifar10-mobilenetv2]: max_pruning_ratio: 1.0
[02/23 10:34:19 cifar10-mobilenetv2]: soft_keeping_ratio: 0.0
[02/23 10:34:19 cifar10-mobilenetv2]: reg: 0.0005
[02/23 10:34:19 cifar10-mobilenetv2]: delta_reg: 0.0001
[02/23 10:34:19 cifar10-mobilenetv2]: weight_decay: 0.0005
[02/23 10:34:19 cifar10-mobilenetv2]: seed: 1
[02/23 10:34:19 cifar10-mobilenetv2]: global_pruning: False
[02/23 10:34:19 cifar10-mobilenetv2]: sl_total_epochs: 100
[02/23 10:34:19 cifar10-mobilenetv2]: sl_lr: 0.01
[02/23 10:34:19 cifar10-mobilenetv2]: sl_lr_decay_milestones: 60,80
[02/23 10:34:19 cifar10-mobilenetv2]: sl_reg_warmup: 0
[02/23 10:34:19 cifar10-mobilenetv2]: sl_restore: None
[02/23 10:34:19 cifar10-mobilenetv2]: iterative_steps: 400
[02/23 10:34:19 cifar10-mobilenetv2]: logger: <Logger cifar10-mobilenetv2 (DEBUG)>
[02/23 10:34:19 cifar10-mobilenetv2]: device: cuda
[02/23 10:34:19 cifar10-mobilenetv2]: num_classes: 10
[02/23 10:34:19 cifar10-mobilenetv2]: Params: 2.25 M
[02/23 10:34:19 cifar10-mobilenetv2]: ops: 68.29 M
[02/23 10:34:54 cifar10-mobilenetv2]: Epoch 0/200, Acc=0.4243, Val Loss=1.4888, lr=0.1000
[02/23 10:35:29 cifar10-mobilenetv2]: Epoch 1/200, Acc=0.5395, Val Loss=1.2823, lr=0.1000
[02/23 10:36:04 cifar10-mobilenetv2]: Epoch 2/200, Acc=0.6072, Val Loss=1.0993, lr=0.1000
[02/23 10:36:38 cifar10-mobilenetv2]: Epoch 3/200, Acc=0.5752, Val Loss=1.2388, lr=0.1000
[02/23 10:37:13 cifar10-mobilenetv2]: Epoch 4/200, Acc=0.6972, Val Loss=0.8614, lr=0.1000
[02/23 10:37:48 cifar10-mobilenetv2]: Epoch 5/200, Acc=0.6601, Val Loss=0.9772, lr=0.1000
[02/23 10:38:23 cifar10-mobilenetv2]: Epoch 6/200, Acc=0.6534, Val Loss=1.0106, lr=0.1000
[02/23 10:38:58 cifar10-mobilenetv2]: Epoch 7/200, Acc=0.7028, Val Loss=0.8519, lr=0.1000
[02/23 10:39:34 cifar10-mobilenetv2]: Epoch 8/200, Acc=0.6705, Val Loss=0.9355, lr=0.1000
[02/23 10:40:10 cifar10-mobilenetv2]: Epoch 9/200, Acc=0.6654, Val Loss=1.0037, lr=0.1000
[02/23 10:40:46 cifar10-mobilenetv2]: Epoch 10/200, Acc=0.6440, Val Loss=1.1323, lr=0.1000
[02/23 10:41:21 cifar10-mobilenetv2]: Epoch 11/200, Acc=0.6611, Val Loss=1.0290, lr=0.1000
[02/23 10:41:56 cifar10-mobilenetv2]: Epoch 12/200, Acc=0.7045, Val Loss=0.8536, lr=0.1000
[02/23 10:42:32 cifar10-mobilenetv2]: Epoch 13/200, Acc=0.6496, Val Loss=1.0496, lr=0.1000
[02/23 10:43:06 cifar10-mobilenetv2]: Epoch 14/200, Acc=0.6976, Val Loss=0.9415, lr=0.1000
[02/23 10:43:42 cifar10-mobilenetv2]: Epoch 15/200, Acc=0.7202, Val Loss=0.8286, lr=0.1000
[02/23 10:44:18 cifar10-mobilenetv2]: Epoch 16/200, Acc=0.6937, Val Loss=0.9128, lr=0.1000
[02/23 10:44:53 cifar10-mobilenetv2]: Epoch 17/200, Acc=0.6022, Val Loss=1.1951, lr=0.1000
[02/23 10:45:29 cifar10-mobilenetv2]: Epoch 18/200, Acc=0.6553, Val Loss=1.0670, lr=0.1000
[02/23 10:46:05 cifar10-mobilenetv2]: Epoch 19/200, Acc=0.6852, Val Loss=0.9613, lr=0.1000
[02/23 10:46:41 cifar10-mobilenetv2]: Epoch 20/200, Acc=0.6957, Val Loss=0.9188, lr=0.1000
[02/23 10:47:16 cifar10-mobilenetv2]: Epoch 21/200, Acc=0.7022, Val Loss=0.8779, lr=0.1000
[02/23 10:47:52 cifar10-mobilenetv2]: Epoch 22/200, Acc=0.7032, Val Loss=0.8840, lr=0.1000
[02/23 10:48:28 cifar10-mobilenetv2]: Epoch 23/200, Acc=0.7240, Val Loss=0.8050, lr=0.1000
[02/23 10:49:04 cifar10-mobilenetv2]: Epoch 24/200, Acc=0.6863, Val Loss=0.9688, lr=0.1000
[02/23 10:49:39 cifar10-mobilenetv2]: Epoch 25/200, Acc=0.6805, Val Loss=0.9539, lr=0.1000
[02/23 10:50:14 cifar10-mobilenetv2]: Epoch 26/200, Acc=0.7244, Val Loss=0.8173, lr=0.1000
[02/23 10:50:49 cifar10-mobilenetv2]: Epoch 27/200, Acc=0.6673, Val Loss=1.0351, lr=0.1000
[02/23 10:51:25 cifar10-mobilenetv2]: Epoch 28/200, Acc=0.6977, Val Loss=0.9100, lr=0.1000
[02/23 10:52:00 cifar10-mobilenetv2]: Epoch 29/200, Acc=0.7086, Val Loss=0.8489, lr=0.1000
[02/23 10:52:35 cifar10-mobilenetv2]: Epoch 30/200, Acc=0.6570, Val Loss=1.0384, lr=0.1000
[02/23 10:53:10 cifar10-mobilenetv2]: Epoch 31/200, Acc=0.7363, Val Loss=0.7683, lr=0.1000
