SLURM WORKLOAD START: Thu Feb 20 19:16:32 CET 2025
Thu Feb 20 19:16:32 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 555.42.02              Driver Version: 555.42.02      CUDA Version: 12.5     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:0B:00.0 Off |                    0 |
| N/A   42C    P0             26W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
/home/REDACTED/paper1/.venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[02/20 19:16:40 modelnet40-pointnet]: mode: pretrain
[02/20 19:16:40 modelnet40-pointnet]: model: pointnet
[02/20 19:16:40 modelnet40-pointnet]: verbose: False
[02/20 19:16:40 modelnet40-pointnet]: dataset: modelnet40
[02/20 19:16:40 modelnet40-pointnet]: dataroot: data
[02/20 19:16:40 modelnet40-pointnet]: batch_size: 32
[02/20 19:16:40 modelnet40-pointnet]: total_epochs: 250
[02/20 19:16:40 modelnet40-pointnet]: lr_decay_milestones: 100,160,200
[02/20 19:16:40 modelnet40-pointnet]: lr_decay_gamma: 0.1
[02/20 19:16:40 modelnet40-pointnet]: lr: 0.1
[02/20 19:16:40 modelnet40-pointnet]: restore: None
[02/20 19:16:40 modelnet40-pointnet]: output_dir: run/modelnet40/pretrain
[02/20 19:16:40 modelnet40-pointnet]: finetune: False
[02/20 19:16:40 modelnet40-pointnet]: last_epochs: 100
[02/20 19:16:40 modelnet40-pointnet]: reps: 1
[02/20 19:16:40 modelnet40-pointnet]: method: None
[02/20 19:16:40 modelnet40-pointnet]: speed_up: 2
[02/20 19:16:40 modelnet40-pointnet]: max_pruning_ratio: 1.0
[02/20 19:16:40 modelnet40-pointnet]: soft_keeping_ratio: 0.0
[02/20 19:16:40 modelnet40-pointnet]: reg: 0.0005
[02/20 19:16:40 modelnet40-pointnet]: delta_reg: 0.0001
[02/20 19:16:40 modelnet40-pointnet]: weight_decay: 0.0005
[02/20 19:16:40 modelnet40-pointnet]: seed: 1
[02/20 19:16:40 modelnet40-pointnet]: global_pruning: False
[02/20 19:16:40 modelnet40-pointnet]: sl_total_epochs: 100
[02/20 19:16:40 modelnet40-pointnet]: sl_lr: 0.01
[02/20 19:16:40 modelnet40-pointnet]: sl_lr_decay_milestones: 60,80
[02/20 19:16:40 modelnet40-pointnet]: sl_reg_warmup: 0
[02/20 19:16:40 modelnet40-pointnet]: sl_restore: None
[02/20 19:16:40 modelnet40-pointnet]: iterative_steps: 400
[02/20 19:16:40 modelnet40-pointnet]: logger: <Logger modelnet40-pointnet (DEBUG)>
[02/20 19:16:40 modelnet40-pointnet]: device: cuda
[02/20 19:16:40 modelnet40-pointnet]: num_classes: 40
[02/20 19:16:40 modelnet40-pointnet]: Params: 1.35 M
[02/20 19:16:40 modelnet40-pointnet]: ops: 291.33 M
[02/20 19:16:54 modelnet40-pointnet]: Epoch 0/250, Acc=0.5276, Val Loss=1.6432, lr=0.1000
[02/20 19:17:07 modelnet40-pointnet]: Epoch 1/250, Acc=0.6349, Val Loss=1.1713, lr=0.1000
[02/20 19:17:21 modelnet40-pointnet]: Epoch 2/250, Acc=0.6584, Val Loss=1.0655, lr=0.1000
[02/20 19:17:35 modelnet40-pointnet]: Epoch 3/250, Acc=0.6337, Val Loss=1.1714, lr=0.1000
[02/20 19:17:48 modelnet40-pointnet]: Epoch 4/250, Acc=0.6293, Val Loss=1.3142, lr=0.1000
[02/20 19:18:02 modelnet40-pointnet]: Epoch 5/250, Acc=0.6159, Val Loss=1.2131, lr=0.1000
[02/20 19:18:15 modelnet40-pointnet]: Epoch 6/250, Acc=0.6430, Val Loss=1.1203, lr=0.1000
[02/20 19:18:29 modelnet40-pointnet]: Epoch 7/250, Acc=0.6730, Val Loss=1.0472, lr=0.1000
[02/20 19:18:41 modelnet40-pointnet]: Epoch 8/250, Acc=0.6515, Val Loss=1.1608, lr=0.1000
[02/20 19:18:55 modelnet40-pointnet]: Epoch 9/250, Acc=0.7115, Val Loss=0.9301, lr=0.1000
[02/20 19:19:08 modelnet40-pointnet]: Epoch 10/250, Acc=0.6459, Val Loss=1.1724, lr=0.1000
[02/20 19:19:21 modelnet40-pointnet]: Epoch 11/250, Acc=0.6742, Val Loss=1.0880, lr=0.1000
[02/20 19:19:35 modelnet40-pointnet]: Epoch 12/250, Acc=0.6143, Val Loss=1.3318, lr=0.1000
[02/20 19:19:48 modelnet40-pointnet]: Epoch 13/250, Acc=0.5843, Val Loss=1.4676, lr=0.1000
[02/20 19:20:02 modelnet40-pointnet]: Epoch 14/250, Acc=0.6896, Val Loss=1.0671, lr=0.1000
[02/20 19:20:15 modelnet40-pointnet]: Epoch 15/250, Acc=0.6426, Val Loss=1.1022, lr=0.1000
[02/20 19:20:28 modelnet40-pointnet]: Epoch 16/250, Acc=0.6325, Val Loss=1.2603, lr=0.1000
[02/20 19:20:42 modelnet40-pointnet]: Epoch 17/250, Acc=0.6325, Val Loss=1.1945, lr=0.1000
[02/20 19:20:55 modelnet40-pointnet]: Epoch 18/250, Acc=0.6066, Val Loss=1.2202, lr=0.1000
[02/20 19:21:08 modelnet40-pointnet]: Epoch 19/250, Acc=0.5665, Val Loss=1.3929, lr=0.1000
[02/20 19:21:20 modelnet40-pointnet]: Epoch 20/250, Acc=0.6584, Val Loss=1.2113, lr=0.1000
[02/20 19:21:34 modelnet40-pointnet]: Epoch 21/250, Acc=0.6021, Val Loss=1.3352, lr=0.1000
[02/20 19:21:48 modelnet40-pointnet]: Epoch 22/250, Acc=0.6973, Val Loss=0.9935, lr=0.1000
[02/20 19:22:02 modelnet40-pointnet]: Epoch 23/250, Acc=0.7034, Val Loss=0.9407, lr=0.1000
[02/20 19:22:15 modelnet40-pointnet]: Epoch 24/250, Acc=0.6722, Val Loss=1.0488, lr=0.1000
[02/20 19:22:29 modelnet40-pointnet]: Epoch 25/250, Acc=0.7058, Val Loss=0.9481, lr=0.1000
[02/20 19:22:42 modelnet40-pointnet]: Epoch 26/250, Acc=0.6418, Val Loss=1.1468, lr=0.1000
[02/20 19:22:56 modelnet40-pointnet]: Epoch 27/250, Acc=0.6653, Val Loss=1.0625, lr=0.1000
[02/20 19:23:10 modelnet40-pointnet]: Epoch 28/250, Acc=0.6759, Val Loss=1.0065, lr=0.1000
[02/20 19:23:22 modelnet40-pointnet]: Epoch 29/250, Acc=0.6917, Val Loss=1.0596, lr=0.1000
[02/20 19:23:36 modelnet40-pointnet]: Epoch 30/250, Acc=0.6503, Val Loss=1.0799, lr=0.1000
[02/20 19:23:50 modelnet40-pointnet]: Epoch 31/250, Acc=0.7370, Val Loss=0.8876, lr=0.1000
