SLURM WORKLOAD START: Thu Feb 20 17:34:49 CET 2025
Thu Feb 20 17:34:49 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 555.42.02              Driver Version: 555.42.02      CUDA Version: 12.5     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:0B:00.0 Off |                    0 |
| N/A   29C    P0             25W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
/home/REDACTED/paper1/.venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[02/20 17:34:54 modelnet40-dgcnn]: mode: pretrain
[02/20 17:34:54 modelnet40-dgcnn]: model: dgcnn
[02/20 17:34:54 modelnet40-dgcnn]: verbose: False
[02/20 17:34:54 modelnet40-dgcnn]: dataset: modelnet40
[02/20 17:34:54 modelnet40-dgcnn]: dataroot: data
[02/20 17:34:54 modelnet40-dgcnn]: batch_size: 32
[02/20 17:34:54 modelnet40-dgcnn]: total_epochs: 250
[02/20 17:34:54 modelnet40-dgcnn]: lr_decay_milestones: 100,160,200
[02/20 17:34:54 modelnet40-dgcnn]: lr_decay_gamma: 0.1
[02/20 17:34:54 modelnet40-dgcnn]: lr: 0.1
[02/20 17:34:54 modelnet40-dgcnn]: restore: None
[02/20 17:34:54 modelnet40-dgcnn]: output_dir: run/modelnet40/pretrain
[02/20 17:34:54 modelnet40-dgcnn]: finetune: False
[02/20 17:34:54 modelnet40-dgcnn]: last_epochs: 100
[02/20 17:34:54 modelnet40-dgcnn]: reps: 1
[02/20 17:34:54 modelnet40-dgcnn]: method: None
[02/20 17:34:54 modelnet40-dgcnn]: speed_up: 2
[02/20 17:34:54 modelnet40-dgcnn]: max_pruning_ratio: 1.0
[02/20 17:34:54 modelnet40-dgcnn]: soft_keeping_ratio: 0.0
[02/20 17:34:54 modelnet40-dgcnn]: reg: 0.0005
[02/20 17:34:54 modelnet40-dgcnn]: delta_reg: 0.0001
[02/20 17:34:54 modelnet40-dgcnn]: weight_decay: 0.0005
[02/20 17:34:54 modelnet40-dgcnn]: seed: 1
[02/20 17:34:54 modelnet40-dgcnn]: global_pruning: False
[02/20 17:34:54 modelnet40-dgcnn]: sl_total_epochs: 100
[02/20 17:34:54 modelnet40-dgcnn]: sl_lr: 0.01
[02/20 17:34:54 modelnet40-dgcnn]: sl_lr_decay_milestones: 60,80
[02/20 17:34:54 modelnet40-dgcnn]: sl_reg_warmup: 0
[02/20 17:34:54 modelnet40-dgcnn]: sl_restore: None
[02/20 17:34:54 modelnet40-dgcnn]: iterative_steps: 400
[02/20 17:34:54 modelnet40-dgcnn]: logger: <Logger modelnet40-dgcnn (DEBUG)>
[02/20 17:34:54 modelnet40-dgcnn]: device: cuda
[02/20 17:34:54 modelnet40-dgcnn]: num_classes: 40
[02/20 17:34:55 modelnet40-dgcnn]: Params: 1.81 M
[02/20 17:34:55 modelnet40-dgcnn]: ops: 2426.02 M
[02/20 17:36:20 modelnet40-dgcnn]: Epoch 0/250, Acc=0.5166, Val Loss=1.5126, lr=0.1000
[02/20 17:37:45 modelnet40-dgcnn]: Epoch 1/250, Acc=0.5344, Val Loss=1.4364, lr=0.1000
[02/20 17:39:09 modelnet40-dgcnn]: Epoch 2/250, Acc=0.7131, Val Loss=0.9194, lr=0.1000
[02/20 17:40:34 modelnet40-dgcnn]: Epoch 3/250, Acc=0.7164, Val Loss=0.8901, lr=0.1000
[02/20 17:41:59 modelnet40-dgcnn]: Epoch 4/250, Acc=0.7569, Val Loss=0.7884, lr=0.1000
[02/20 17:43:23 modelnet40-dgcnn]: Epoch 5/250, Acc=0.7593, Val Loss=0.7507, lr=0.1000
[02/20 17:44:48 modelnet40-dgcnn]: Epoch 6/250, Acc=0.7472, Val Loss=0.8325, lr=0.1000
[02/20 17:46:13 modelnet40-dgcnn]: Epoch 7/250, Acc=0.7678, Val Loss=0.7389, lr=0.1000
[02/20 17:47:37 modelnet40-dgcnn]: Epoch 8/250, Acc=0.7950, Val Loss=0.6982, lr=0.1000
[02/20 17:49:02 modelnet40-dgcnn]: Epoch 9/250, Acc=0.6268, Val Loss=1.5372, lr=0.1000
[02/20 17:50:27 modelnet40-dgcnn]: Epoch 10/250, Acc=0.7516, Val Loss=0.8450, lr=0.1000
[02/20 17:51:51 modelnet40-dgcnn]: Epoch 11/250, Acc=0.7889, Val Loss=0.6843, lr=0.1000
[02/20 17:53:16 modelnet40-dgcnn]: Epoch 12/250, Acc=0.7723, Val Loss=0.7207, lr=0.1000
[02/20 17:54:41 modelnet40-dgcnn]: Epoch 13/250, Acc=0.6896, Val Loss=1.0013, lr=0.1000
[02/20 17:56:05 modelnet40-dgcnn]: Epoch 14/250, Acc=0.7261, Val Loss=0.8917, lr=0.1000
[02/20 17:57:30 modelnet40-dgcnn]: Epoch 15/250, Acc=0.7800, Val Loss=0.7015, lr=0.1000
[02/20 17:58:54 modelnet40-dgcnn]: Epoch 16/250, Acc=0.7553, Val Loss=0.7470, lr=0.1000
[02/20 18:00:19 modelnet40-dgcnn]: Epoch 17/250, Acc=0.6605, Val Loss=1.1363, lr=0.1000
[02/20 18:01:44 modelnet40-dgcnn]: Epoch 18/250, Acc=0.7524, Val Loss=0.8568, lr=0.1000
[02/20 18:03:08 modelnet40-dgcnn]: Epoch 19/250, Acc=0.7046, Val Loss=1.0555, lr=0.1000
[02/20 18:04:33 modelnet40-dgcnn]: Epoch 20/250, Acc=0.7686, Val Loss=0.7291, lr=0.1000
[02/20 18:05:58 modelnet40-dgcnn]: Epoch 21/250, Acc=0.7658, Val Loss=0.7513, lr=0.1000
[02/20 18:07:22 modelnet40-dgcnn]: Epoch 22/250, Acc=0.7216, Val Loss=0.9147, lr=0.1000
[02/20 18:08:47 modelnet40-dgcnn]: Epoch 23/250, Acc=0.7804, Val Loss=0.6867, lr=0.1000
[02/20 18:10:11 modelnet40-dgcnn]: Epoch 24/250, Acc=0.7788, Val Loss=0.7097, lr=0.1000
[02/20 18:11:36 modelnet40-dgcnn]: Epoch 25/250, Acc=0.7265, Val Loss=0.8288, lr=0.1000
[02/20 18:13:01 modelnet40-dgcnn]: Epoch 26/250, Acc=0.7054, Val Loss=1.0561, lr=0.1000
[02/20 18:14:25 modelnet40-dgcnn]: Epoch 27/250, Acc=0.8006, Val Loss=0.6077, lr=0.1000
[02/20 18:15:50 modelnet40-dgcnn]: Epoch 28/250, Acc=0.5632, Val Loss=1.5640, lr=0.1000
[02/20 18:17:15 modelnet40-dgcnn]: Epoch 29/250, Acc=0.7447, Val Loss=0.8312, lr=0.1000
[02/20 18:18:39 modelnet40-dgcnn]: Epoch 30/250, Acc=0.8088, Val Loss=0.6453, lr=0.1000
[02/20 18:20:04 modelnet40-dgcnn]: Epoch 31/250, Acc=0.6698, Val Loss=1.0280, lr=0.1000
